Dataset,Feature,Extra layers,Mode,NPins,Partial Percent,MSE,R2 MSE,Sigma,NPP,R2 NPP,GP,R2 GP,Manual LR
Building,DDPM,False,mesh,121,1.0,1.5792968571186066,-0.19022853020578623,2.0,1.1081020534038544,-1.8619825141504407,1.1081020534038544,-1.8619825141504407,Yes
Building,DDPM,False,mesh,121,0.75,1.5792968571186066,-0.19022853020578623,2.0,1.1081020534038544,-1.8619825141504407,1.1081020534038544,-1.8619825141504407,Yes
Building,DDPM,False,mesh,121,0.5,1.5792968571186066,-0.19022853020578623,2.0,1.1081020534038544,-1.8619825141504407,1.1081020534038544,-1.8619825141504407,Yes
Building,DDPM,False,mesh,121,0.25,1.5792968571186066,-0.19022853020578623,2.0,1.1081020534038544,-1.8619825141504407,1.1081020534038544,-1.8619825141504407,Yes
Building,DDPM,False,mesh,121,0.0,1.5792968571186066,-0.19022853020578623,2.0,1.1081020534038544,-1.8619825141504407,1.1081020534038544,-1.8619825141504407,Yes
Building,DDPM,False,mesh,16,1.0,1.35546875,0.0114069152623415,2.0,0.7841480076313019,-0.14018892357125878,0.7841480076313019,-0.14018892357125878,Yes
Building,DDPM,False,mesh,16,0.75,1.35546875,0.0114069152623415,2.0,0.7841480076313019,-0.14018892357125878,0.7841480076313019,-0.14018892357125878,Yes
Building,DDPM,False,mesh,16,0.5,1.35546875,0.0114069152623415,2.0,0.7841480076313019,-0.14018892357125878,0.7841480076313019,-0.14018892357125878,Yes
Building,DDPM,False,mesh,16,0.25,1.35546875,0.0114069152623415,2.0,0.7841480076313019,-0.14018892357125878,0.7841480076313019,-0.14018892357125878,Yes
Building,DDPM,False,mesh,16,0.0,1.35546875,0.0114069152623415,2.0,0.7841480076313019,-0.14018892357125878,0.7841480076313019,-0.14018892357125878,Yes
